Index,ADC_Sample,Original_Signal,FFT_Real,FFT_Imag
        643,0000,0000,0001802,00078c3
        644,0000,0000,000446a,000ae46
        645,0000,0000,00086ae,000b813
        646,0000,0000,000ad70,0009ea4
        647,0000,0000,000b008,0009269
        648,0000,0000,000b8eb,000aafa
        649,0000,0000,000ec5e,000c75a
        650,0000,0000,001372b,000b915
        651,0000,0000,001665a,00081e2
        652,0000,0000,001697f,0005185
        653,0000,0000,001673e,0004719
        654,0000,0000,00188e7,0004860
        655,0000,0000,001c2ea,0002521
        656,0000,0000,001e2b6,7ffd7c7
        657,0000,0000,001d104,7ff8e1d
        658,0000,0000,001afc9,7ff6dea
        659,0000,0000,001ad6a,7ff642e
        660,0000,0000,001c6a1,7ff3f72
        661,0000,0000,001cadf,7fef28f
        662,0000,0000,0019ca9,7fea79e
